loss,mae,val_loss,val_mae,learning_rate,model,epoch
1.1851545572280884,1.6118769645690918,1.4469211101531982,1.8915748596191406,0.0010000000474974513,asymmetric,1
0.6087456941604614,0.9968038201332092,0.5405289530754089,0.9168523550033569,0.0010000000474974513,asymmetric,2
0.5232530236244202,0.9089893698692322,0.498080313205719,0.8765581846237183,0.0010000000474974513,asymmetric,3
0.49536317586898804,0.8681105375289917,0.528579592704773,0.8795722126960754,0.0010000000474974513,asymmetric,4
0.4439122676849365,0.8066480159759521,0.4734649658203125,0.8094524145126343,0.0010000000474974513,asymmetric,5
0.40631112456321716,0.7624629139900208,0.4450346827507019,0.7677218914031982,0.0010000000474974513,asymmetric,6
0.39046576619148254,0.7465866208076477,0.3915855884552002,0.7583388090133667,0.0010000000474974513,asymmetric,7
0.3710675835609436,0.7237886786460876,0.5242241621017456,0.8975929617881775,0.0010000000474974513,asymmetric,8
0.3323562741279602,0.674633264541626,0.21974492073059082,0.49725252389907837,0.0010000000474974513,asymmetric,9
0.3275607228279114,0.6614565253257751,0.28546571731567383,0.5777894258499146,0.0010000000474974513,asymmetric,10
0.3105798065662384,0.6495032906532288,0.22089040279388428,0.5128504037857056,0.0010000000474974513,asymmetric,11
0.304078608751297,0.6383138298988342,0.21478278934955597,0.5048186779022217,0.0010000000474974513,asymmetric,12
0.2714115083217621,0.5944564938545227,0.23726846277713776,0.5450235605239868,0.0010000000474974513,asymmetric,13
0.26844707131385803,0.586808443069458,0.15900762379169464,0.4092499017715454,0.0010000000474974513,asymmetric,14
0.2667529881000519,0.5819864869117737,0.16637761890888214,0.4164593517780304,0.0010000000474974513,asymmetric,15
0.22505484521389008,0.5279251933097839,0.21495985984802246,0.489475280046463,0.0010000000474974513,asymmetric,16
0.27089446783065796,0.5856045484542847,0.28443047404289246,0.5949993133544922,0.0010000000474974513,asymmetric,17
0.24557338654994965,0.5518585443496704,0.20887787640094757,0.4910641312599182,0.0010000000474974513,asymmetric,18
0.23354360461235046,0.5341631174087524,0.6894814968109131,1.0496939420700073,0.0010000000474974513,asymmetric,19
0.21117950975894928,0.5010344982147217,0.31345459818840027,0.623105525970459,0.0005000000237487257,asymmetric,20
0.23050722479820251,0.5251744389533997,0.3148587942123413,0.6059644222259521,0.0005000000237487257,asymmetric,21
0.17983008921146393,0.45571061968803406,0.24778708815574646,0.5151498913764954,0.0005000000237487257,asymmetric,22
0.19112765789031982,0.48174190521240234,0.17542853951454163,0.4218197464942932,0.0005000000237487257,asymmetric,23
0.20166854560375214,0.486096054315567,0.15582016110420227,0.40159109234809875,0.0005000000237487257,asymmetric,24
0.18131999671459198,0.46135637164115906,0.1538717895746231,0.3993932604789734,0.0005000000237487257,asymmetric,25
0.181810662150383,0.4563697278499603,0.17322087287902832,0.4210940897464752,0.0005000000237487257,asymmetric,26
0.19471986591815948,0.473461776971817,0.1773829162120819,0.41368305683135986,0.0005000000237487257,asymmetric,27
0.16642658412456512,0.4400150179862976,0.17312908172607422,0.41617095470428467,0.0005000000237487257,asymmetric,28
0.19522379338741302,0.47987285256385803,0.18252362310886383,0.42656347155570984,0.0005000000237487257,asymmetric,29
0.18513095378875732,0.46160751581192017,0.15408694744110107,0.38014841079711914,0.0005000000237487257,asymmetric,30
0.19565187394618988,0.4828183352947235,0.17582650482654572,0.4208834171295166,0.0005000000237487257,asymmetric,31
0.20140902698040009,0.48776209354400635,0.3998718857765198,0.7279449701309204,0.0005000000237487257,asymmetric,32
0.1565733253955841,0.4233493506908417,0.1891833245754242,0.4444693326950073,0.0005000000237487257,asymmetric,33
0.17542555928230286,0.4427116811275482,0.19149816036224365,0.4443170130252838,0.0005000000237487257,asymmetric,34
0.18269388377666473,0.456935316324234,0.16998206079006195,0.4106217324733734,0.0005000000237487257,asymmetric,35
0.15352806448936462,0.4119635820388794,0.15566100180149078,0.3844585418701172,0.0002500000118743628,asymmetric,36
0.15366041660308838,0.41801953315734863,0.15410004556179047,0.3856522738933563,0.0002500000118743628,asymmetric,37
0.1722991168498993,0.4438279867172241,0.1640748828649521,0.3937826156616211,0.0002500000118743628,asymmetric,38
0.16098399460315704,0.43024274706840515,0.16291742026805878,0.3950199484825134,0.0002500000118743628,asymmetric,39
0.17702721059322357,0.45748409628868103,0.1731223613023758,0.406063050031662,0.0002500000118743628,asymmetric,40
0.1663060039281845,0.4350145161151886,0.16055551171302795,0.3853050172328949,0.0001250000059371814,asymmetric,41
0.18322564661502838,0.46318286657333374,0.1591002494096756,0.3865986168384552,0.0001250000059371814,asymmetric,42
0.14641894400119781,0.40854477882385254,0.16477057337760925,0.39389529824256897,0.0001250000059371814,asymmetric,43
0.14776939153671265,0.40602779388427734,0.15478231012821198,0.37778139114379883,0.0001250000059371814,asymmetric,44
0.14928649365901947,0.41123661398887634,0.14829036593437195,0.366926372051239,0.0001250000059371814,asymmetric,45
0.14792710542678833,0.4080520272254944,0.14798468351364136,0.3668537139892578,0.0001250000059371814,asymmetric,46
0.15085332095623016,0.4110485017299652,0.15141263604164124,0.37475329637527466,0.0001250000059371814,asymmetric,47
0.1318736970424652,0.38459980487823486,0.15054993331432343,0.3683639168739319,0.0001250000059371814,asymmetric,48
0.14268963038921356,0.39890214800834656,0.15751101076602936,0.3844887614250183,0.0001250000059371814,asymmetric,49
0.12795767188072205,0.3740081787109375,0.16620342433452606,0.4011409282684326,0.0001250000059371814,asymmetric,50
0.16756021976470947,0.4393320083618164,0.16074852645397186,0.38623329997062683,6.25000029685907e-05,asymmetric,51
0.15481595695018768,0.41637974977493286,0.17131690680980682,0.40512025356292725,6.25000029685907e-05,asymmetric,52
0.1550777107477188,0.41787394881248474,0.1588703989982605,0.3819384276866913,6.25000029685907e-05,asymmetric,53
0.12968018651008606,0.37652021646499634,0.15789669752120972,0.3823482394218445,6.25000029685907e-05,asymmetric,54
0.14130622148513794,0.3892977833747864,0.14998912811279297,0.36799636483192444,6.25000029685907e-05,asymmetric,55
0.13294574618339539,0.38916096091270447,0.15153619647026062,0.3701035976409912,3.125000148429535e-05,asymmetric,56
0.1336105465888977,0.3872985243797302,0.1508060246706009,0.36854133009910583,3.125000148429535e-05,asymmetric,57
0.12579432129859924,0.3695826828479767,0.15037980675697327,0.36736005544662476,3.125000148429535e-05,asymmetric,58
0.15193651616573334,0.408500075340271,0.15353012084960938,0.37359511852264404,3.125000148429535e-05,asymmetric,59
0.15271399915218353,0.41989994049072266,0.15289437770843506,0.3722839653491974,3.125000148429535e-05,asymmetric,60
0.1514105498790741,0.4125048518180847,0.15560106933116913,0.37646108865737915,1.5625000742147677e-05,asymmetric,61
1.1246919631958008,1.5433986186981201,0.6270524859428406,1.0196924209594727,0.0010000000474974513,symmetric_ablation,1
0.5572183132171631,0.9448210597038269,0.6948144435882568,1.0731228590011597,0.0010000000474974513,symmetric_ablation,2
0.5141873955726624,0.8901568651199341,0.5214948654174805,0.8900375962257385,0.0010000000474974513,symmetric_ablation,3
0.4687526822090149,0.8369913101196289,0.5641420483589172,0.9244065880775452,0.0010000000474974513,symmetric_ablation,4
0.4405304491519928,0.8079008460044861,0.5947288870811462,0.9411824345588684,0.0010000000474974513,symmetric_ablation,5
0.3957267701625824,0.7520805597305298,0.24539078772068024,0.5396866798400879,0.0010000000474974513,symmetric_ablation,6
0.35481059551239014,0.7020144462585449,0.33107587695121765,0.642706036567688,0.0010000000474974513,symmetric_ablation,7
0.348594605922699,0.6955981254577637,0.46476590633392334,0.8085907697677612,0.0010000000474974513,symmetric_ablation,8
0.30876973271369934,0.639660120010376,0.23168396949768066,0.5213757753372192,0.0010000000474974513,symmetric_ablation,9
0.3253019452095032,0.6622474789619446,0.4798581600189209,0.8505175113677979,0.0010000000474974513,symmetric_ablation,10
0.3184502422809601,0.6499461531639099,0.2157089114189148,0.4882444143295288,0.0010000000474974513,symmetric_ablation,11
0.28202709555625916,0.6040789484977722,0.2146277278661728,0.4820016622543335,0.0010000000474974513,symmetric_ablation,12
0.2702973783016205,0.588844358921051,0.37867268919944763,0.7013648748397827,0.0010000000474974513,symmetric_ablation,13
0.2592955231666565,0.5720527172088623,0.32804086804389954,0.6614030599594116,0.0010000000474974513,symmetric_ablation,14
0.2364671528339386,0.5406534075737,0.32275649905204773,0.6299344301223755,0.0010000000474974513,symmetric_ablation,15
0.2470843344926834,0.557625949382782,0.21694037318229675,0.5231873989105225,0.0010000000474974513,symmetric_ablation,16
0.24469077587127686,0.555281937122345,0.20005056262016296,0.4780876040458679,0.0010000000474974513,symmetric_ablation,17
0.24804770946502686,0.5500202178955078,0.19859792292118073,0.47822150588035583,0.0010000000474974513,symmetric_ablation,18
0.22295928001403809,0.5224294662475586,0.2023993730545044,0.47061607241630554,0.0010000000474974513,symmetric_ablation,19
0.21813248097896576,0.5129620432853699,0.29554906487464905,0.5976108312606812,0.0010000000474974513,symmetric_ablation,20
0.20695403218269348,0.5012842416763306,0.2153063714504242,0.48248761892318726,0.0010000000474974513,symmetric_ablation,21
0.18478898704051971,0.46317926049232483,0.315001517534256,0.6103382706642151,0.0010000000474974513,symmetric_ablation,22
0.2197951078414917,0.5110113024711609,0.2887801229953766,0.594274640083313,0.0010000000474974513,symmetric_ablation,23
0.20473188161849976,0.49763211607933044,0.29547685384750366,0.5914500951766968,0.0010000000474974513,symmetric_ablation,24
0.19521337747573853,0.4830017685890198,0.20222610235214233,0.46435365080833435,0.0005000000237487257,symmetric_ablation,25
0.1669311374425888,0.43870747089385986,0.16661980748176575,0.4246334135532379,0.0005000000237487257,symmetric_ablation,26
0.2036554366350174,0.48171254992485046,0.2424270063638687,0.5213264226913452,0.0005000000237487257,symmetric_ablation,27
0.19556599855422974,0.48049744963645935,0.21122895181179047,0.4716280400753021,0.0005000000237487257,symmetric_ablation,28
0.17475686967372894,0.4549143612384796,0.24691541492938995,0.5262651443481445,0.0005000000237487257,symmetric_ablation,29
0.1627446413040161,0.43054723739624023,0.15984278917312622,0.391834020614624,0.0005000000237487257,symmetric_ablation,30
0.1646004319190979,0.42898890376091003,0.17500177025794983,0.421256422996521,0.0005000000237487257,symmetric_ablation,31
0.16035917401313782,0.43196696043014526,0.17371822893619537,0.4137427806854248,0.0005000000237487257,symmetric_ablation,32
0.19573897123336792,0.47801509499549866,0.1768667846918106,0.4197693467140198,0.0005000000237487257,symmetric_ablation,33
0.16061988472938538,0.43260666728019714,0.19506344199180603,0.4541052579879761,0.0005000000237487257,symmetric_ablation,34
0.15463489294052124,0.4057590067386627,0.1587315946817398,0.3955642879009247,0.0005000000237487257,symmetric_ablation,35
0.14189009368419647,0.39698123931884766,0.18006597459316254,0.4295900762081146,0.0002500000118743628,symmetric_ablation,36
0.15435336530208588,0.415895015001297,0.1629980504512787,0.39731064438819885,0.0002500000118743628,symmetric_ablation,37
0.1647334098815918,0.4331286549568176,0.18800030648708344,0.43796196579933167,0.0002500000118743628,symmetric_ablation,38
0.1398913860321045,0.38751545548439026,0.1689814031124115,0.4069628417491913,0.0002500000118743628,symmetric_ablation,39
0.12831880152225494,0.3799993097782135,0.14828141033649445,0.3830929398536682,0.0002500000118743628,symmetric_ablation,40
0.15794478356838226,0.4205130636692047,0.15197427570819855,0.38279932737350464,0.0002500000118743628,symmetric_ablation,41
0.13383622467517853,0.3826180398464203,0.14752985537052155,0.3881126344203949,0.0002500000118743628,symmetric_ablation,42
0.15322822332382202,0.4246132969856262,0.16680341958999634,0.40614256262779236,0.0002500000118743628,symmetric_ablation,43
0.15511088073253632,0.4167357087135315,0.14642158150672913,0.37777724862098694,0.0002500000118743628,symmetric_ablation,44
0.13705596327781677,0.39188337326049805,0.14619988203048706,0.3765004277229309,0.0002500000118743628,symmetric_ablation,45
0.1359122395515442,0.3859056830406189,0.1500585824251175,0.38402020931243896,0.0002500000118743628,symmetric_ablation,46
0.11591671407222748,0.35401126742362976,0.14657914638519287,0.37881705164909363,0.0002500000118743628,symmetric_ablation,47
0.1854839026927948,0.4610479474067688,0.15567223727703094,0.3850395679473877,0.0002500000118743628,symmetric_ablation,48
0.1345895230770111,0.3815743029117584,0.19901500642299652,0.44825053215026855,0.0002500000118743628,symmetric_ablation,49
0.13438700139522552,0.38945862650871277,0.15434615314006805,0.38489609956741333,0.0002500000118743628,symmetric_ablation,50
0.12229908257722855,0.3618173897266388,0.14949432015419006,0.3802446126937866,0.0001250000059371814,symmetric_ablation,51
0.13092003762722015,0.37379828095436096,0.1504942774772644,0.3800097703933716,0.0001250000059371814,symmetric_ablation,52
0.11047545075416565,0.3461972177028656,0.15654799342155457,0.3889846205711365,0.0001250000059371814,symmetric_ablation,53
0.14465530216693878,0.39596953988075256,0.16375316679477692,0.39508846402168274,0.0001250000059371814,symmetric_ablation,54
0.1363486349582672,0.38319823145866394,0.1613505333662033,0.3911018669605255,0.0001250000059371814,symmetric_ablation,55
0.13974006474018097,0.3889569640159607,0.1607002168893814,0.3898615539073944,6.25000029685907e-05,symmetric_ablation,56
0.1257721185684204,0.37540510296821594,0.15413272380828857,0.3829154372215271,6.25000029685907e-05,symmetric_ablation,57
0.13756689429283142,0.38746771216392517,0.15632376074790955,0.38687634468078613,6.25000029685907e-05,symmetric_ablation,58
0.13280653953552246,0.38658270239830017,0.1569187194108963,0.38701197504997253,6.25000029685907e-05,symmetric_ablation,59
0.13684917986392975,0.3878968060016632,0.1606329083442688,0.39184868335723877,6.25000029685907e-05,symmetric_ablation,60
